행정구역,순위,미세먼지 오염도(㎍/㎥),비율(%),CTPRVN_CD
합계,,"1,369.80",100,
경기도,1,44.4,3.24,41
경기도,2,44.4,3.24,41
대전광역시,3,44.2,3.23,30
대전광역시,4,44.2,3.23,30
충청북도,5,44.1,3.22,43
충청북도,6,44.1,3.22,43
서울특별시,7,42.3,3.09,11
서울특별시,8,42.3,3.09,11
광주광역시,9,41.7,3.04,29
전라북도,10,41.7,3.04,45
광주광역시,11,41.7,3.04,29
전라북도,12,41.7,3.04,45
부산광역시,13,41.6,3.04,26
경상북도,14,41.6,3.04,47
부산광역시,15,41.6,3.04,26
경상북도,16,41.6,3.04,47
경상남도,17,41.1,3,48
경상남도,18,41.1,3,48
인천광역시,19,40.5,2.96,28
인천광역시,20,40.5,2.96,28
대구광역시,21,40.4,2.95,27
대구광역시,22,40.4,2.95,27
충청남도,23,39.5,2.88,44
충청남도,24,39.5,2.88,44
울산광역시,25,39.3,2.87,31
울산광역시,26,39.3,2.87,31
세종특별자치시,27,39,2.85,36
세종특별자치시,28,39,2.85,36
강원도,29,35,2.56,42
강원도,30,35,2.56,42
전라남도,31,34.5,2.52,46
전라남도,32,34.5,2.52,46
제주특별자치도,33,34,2.48,50
제주특별자치도,34,34,2.48,50
