"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"서울특별시  (1100000000)","9,733,655","9,078,521","810,349","1,461,212","1,501,662","1,558,128","1,537,114","1,205,699","691,028","266,097","40,809","6,423","4,742,217","4,405,748","415,728","713,226","751,137","772,140","754,079","569,745","315,112","102,246","10,672","1,663","4,991,438","4,672,773","394,621","747,986","750,525","785,988","783,035","635,954","375,916","163,851","30,137","4,760"
"서울특별시 종로구 (1111000000)","151,217","143,158","11,570","23,472","20,290","22,935","25,736","19,489","12,580","5,792","1,033","261","73,704","69,634","5,827","11,595","10,056","11,179","12,935","9,683","5,599","2,312","362","86","77,513","73,524","5,743","11,877","10,234","11,756","12,801","9,806","6,981","3,480","671","175"
"서울특별시 종로구 청운효자동(1111051500)","12,723","11,829","1,223","1,627","1,758","2,225","1,999","1,369","1,027","505","78","18","5,934","5,469","649","806","809","986","952","600","427","206","31","3","6,789","6,360","574","821","949","1,239","1,047","769","600","299","47","15"
"서울특별시 종로구 사직동(1111053000)","9,553","8,935","710","1,262","1,405","1,500","1,550","1,168","785","446","91","18","4,309","4,000","320","581","628","666","702","538","339","186","36","4","5,244","4,935","390","681","777","834","848","630","446","260","55","14"
"서울특별시 종로구 삼청동(1111054000)","2,749","2,637","212","350","384","386","422","403","289","152","30","9","1,320","1,269","123","187","183","189","204","187","133","49","13","1","1,429","1,368","89","163","201","197","218","216","156","103","17","8"
"서울특별시 종로구 부암동(1111055000)","10,164","9,554","949","1,387","1,259","1,661","1,729","1,287","804","391","77","10","4,835","4,523","500","726","582","776","787","610","361","157","21","3","5,329","5,031","449","661","677","885","942","677","443","234","56","7"
"서울특별시 종로구 평창동(1111056000)","18,609","17,412","1,681","2,551","2,281","2,801","3,346","2,404","1,421","747","156","24","8,733","8,116","873","1,315","1,065","1,240","1,502","1,160","629","281","43","8","9,876","9,296","808","1,236","1,216","1,561","1,844","1,244","792","466","113","16"
"서울특별시 종로구 무악동(1111057000)","8,720","7,977","1,037","950","998","1,590","1,389","1,001","647","299","50","16","4,054","3,724","489","429","454","753","726","458","262","124","18","11","4,666","4,253","548","521","544","837","663","543","385","175","32","5"
"서울특별시 종로구 교남동(1111058000)","10,603","9,699","862","1,319","1,795","1,888","1,593","1,138","732","310","47","15","4,930","4,467","424","612","832","893","767","500","292","127","15","5","5,673","5,232","438","707","963","995","826","638","440","183","32","10"
"서울특별시 종로구 가회동(1111060000)","4,361","4,147","348","492","594","769","698","586","443","172","35","10","2,013","1,909","180","234","284","362","317","267","182","72","7","4","2,348","2,238","168","258","310","407","381","319","261","100","28","6"
